sort_order;form_uid;form_group;category_code;category_title;title;version;file_name;relative_path;page_count;is_fillable;is_all_in_one;sensitivity;status;crm_use;reporting_export;sha256_hash;notes
21;RAI-FRM-JB-001;JB;09_PROGRAMOVE_PRILOHY;Programové přílohy;JAILBREAK dotazník;v1.5;RAI-FRM-JB-001_JAILBREAK_DOTAZNIK_FILLABLE_v1_5_CONTENT_LOCKED.pdf;09_PROGRAMOVE_PRILOHY/RAI-FRM-JB-001_JAILBREAK_DOTAZNIK_FILLABLE_v1_5_CONTENT_LOCKED.pdf;9;1;0;high;active;1;0;00ef0b567852e0fef546d674d92d09405074cc1959829f5af5e4efe4535d44df;Doplněno ve v1.1
22;RAI-FRM-INT-001;INT;03_INTERVENCE;Intervence;Kniha intervencí;v1.5;RAI-FRM-INT-001_KNIHA_INTERVENCI_FILLABLE_v1_5_CONTENT_LOCKED.pdf;03_INTERVENCE/RAI-FRM-INT-001_KNIHA_INTERVENCI_FILLABLE_v1_5_CONTENT_LOCKED.pdf;8;1;0;high;active;1;0;cd65b9cb03d77fe2c1b065d8307ffaa5df62894ae552539abdfde60213191218;
23;RAI-FRM-KRZ-001;KRZ;04_KRIZOVY_REZIM;Krizový režim;Kniha krizových intervencí;v1.5;RAI-FRM-KRZ-001_KNIHA_KRIZOVYCH_INTERVENCI_FILLABLE_v1_5_CONTENT_LOCKED.pdf;04_KRIZOVY_REZIM/RAI-FRM-KRZ-001_KNIHA_KRIZOVYCH_INTERVENCI_FILLABLE_v1_5_CONTENT_LOCKED.pdf;8;1;0;restricted;active;1;0;080343baaed8f4dd1adda36ee8d40dbc7bbe924900463839c0c0386b7122e374;
24;RAI-FRM-KRZ-002;KRZ;04_KRIZOVY_REZIM;Krizový režim;Krizový formulář;v1.5;RAI-FRM-KRZ-002_KRIZOVY_FORMULAR_FILLABLE_v1_5_CONTENT_LOCKED.pdf;04_KRIZOVY_REZIM/RAI-FRM-KRZ-002_KRIZOVY_FORMULAR_FILLABLE_v1_5_CONTENT_LOCKED.pdf;7;1;0;restricted;active;1;0;bbf5a7b7ed679cffb01688e4f758f0986a74a63af69a84d8a842800624330d85;Převedeno podle finálních pravidel v1.5
25;RAI-FRM-EVA-001;EVA;05_EVALUACE_A_FOLLOW_UP;Evaluace a follow-up;Stabilizační index;v1.5;RAI-FRM-EVA-001_STABILIZACNI_INDEX_FILLABLE_v1_5_CONTENT_LOCKED.pdf;05_EVALUACE_A_FOLLOW_UP/RAI-FRM-EVA-001_STABILIZACNI_INDEX_FILLABLE_v1_5_CONTENT_LOCKED.pdf;7;1;0;high;active;1;1;95e03b84cfbb3dff3ad1d98d2788a4549a891fcaa0829df8b75f1dc0538dc094;Exportovat anonymizovaně
26;RAI-FRM-EVA-002;EVA;05_EVALUACE_A_FOLLOW_UP;Evaluace a follow-up;Follow-up tracking;v1.5;RAI-FRM-EVA-002_FOLLOW_UP_TRACKING_FILLABLE_v1_5_CONTENT_LOCKED.pdf;05_EVALUACE_A_FOLLOW_UP/RAI-FRM-EVA-002_FOLLOW_UP_TRACKING_FILLABLE_v1_5_CONTENT_LOCKED.pdf;7;1;0;high;active;1;1;6c53e42a31eca1bb7205aaef0cc4113394b44d1eeb2bdee2abfbe154a294ad27;Exportovat anonymizovaně
27;RAI-FRM-ETY-001;ETY;07_ETIKA_A_TYM;Etika a tým;Mlčenlivost a etický závazek týmu;v1.5;RAI-FRM-ETY-001_MLCENLIVOST_ETICKY_ZAVAZEK_FILLABLE_v1_5_CONTENT_LOCKED.pdf;07_ETIKA_A_TYM/RAI-FRM-ETY-001_MLCENLIVOST_ETICKY_ZAVAZEK_FILLABLE_v1_5_CONTENT_LOCKED.pdf;6;1;0;internal;active;1;0;dc6602639f345bac1afa9b31839f768c0801ea5bc7edcaf8515a66c4e23967b3;
28;RAI-FRM-REG-001;REG;06_REGISTRY;Registry;Registr dobrovolníků;v1.5;RAI-FRM-REG-001_REGISTR_DOBROVOLNIKU_FILLABLE_v1_5_CONTENT_LOCKED.pdf;06_REGISTRY/RAI-FRM-REG-001_REGISTR_DOBROVOLNIKU_FILLABLE_v1_5_CONTENT_LOCKED.pdf;5;1;0;internal;active;1;0;4ab78eadedcaeed84d9b539a72e741b2efbfafb87ba73ecce2ae6d295cbc04a7;Registry v1.7
29;RAI-FRM-REG-002;REG;06_REGISTRY;Registry;Evidence komunitních aktivit;v1.5;RAI-FRM-REG-002_EVIDENCE_KOMUNITNICH_AKTIVIT_FILLABLE_v1_5_CONTENT_LOCKED.pdf;06_REGISTRY/RAI-FRM-REG-002_EVIDENCE_KOMUNITNICH_AKTIVIT_FILLABLE_v1_5_CONTENT_LOCKED.pdf;5;1;0;internal;active;1;0;1335bddf7eac270c5013964f6386f8e0a61712dc7e15ff52ddcc9cf4e6efa9cc;Registry v1.7
30;RAI-FRM-REG-003;REG;06_REGISTRY;Registry;Registr partnerů;v1.5;RAI-FRM-REG-003_REGISTR_PARTNERU_FILLABLE_v1_5_CONTENT_LOCKED.pdf;06_REGISTRY/RAI-FRM-REG-003_REGISTR_PARTNERU_FILLABLE_v1_5_CONTENT_LOCKED.pdf;4;1;0;internal;active;1;0;2dc28eb6477a8fc55e71fce9847e604b865317b2db543239635e36c93166801f;Registry v1.7
31;RAI-FRM-REG-004;REG;06_REGISTRY;Registry;Registr rizik;v1.5;RAI-FRM-REG-004_REGISTR_RIZIK_FILLABLE_v1_5_CONTENT_LOCKED.pdf;06_REGISTRY/RAI-FRM-REG-004_REGISTR_RIZIK_FILLABLE_v1_5_CONTENT_LOCKED.pdf;5;1;0;internal;active;1;0;407ecd07730587223dd56f71f2b4d2e70084c145738e7000d1f49452249a24d8;Registry v1.7
32;RAI-FRM-REG-005;REG;06_REGISTRY;Registry;Registr stížností;v1.5;RAI-FRM-REG-005_REGISTR_STIZNOSTI_FILLABLE_v1_5_CONTENT_LOCKED.pdf;06_REGISTRY/RAI-FRM-REG-005_REGISTR_STIZNOSTI_FILLABLE_v1_5_CONTENT_LOCKED.pdf;4;1;0;high;active;1;0;792d1243b7435aa9ab645750455dbc54bc8538adb2d2eb649652f665780c9ce2;Registry v1.7
33;RAI-AIO-REG-001;AIO;99_ALL_IN_ONE_VOLITELNE;ALL-IN-ONE volitelné;Registry ALL-IN-ONE;v1.7;RAI-AIO-REG-001_REGISTRY_ALL_IN_ONE_v1_7_CONTENT_LOCKED.pdf;99_ALL_IN_ONE_VOLITELNE/RAI-AIO-REG-001_REGISTRY_ALL_IN_ONE_v1_7_CONTENT_LOCKED.pdf;23;1;1;internal;active;0;0;437c9b6db469f7265ef43e7c9dce8d05cd10391cd643d9983d9ab0fbeb429a69;Volitelný souhrnný PDF balík
34;RAI-FRM-DOP-001;DOP;08_DOPLNKOVE_LISTY;Doplňkové listy;List incidentů;v1.7;RAI-FRM-DOP-001_LIST_INCIDENTU_A4_LANDSCAPE_FILLABLE_v1_7_CONTENT_LOCKED.pdf;08_DOPLNKOVE_LISTY/RAI-FRM-DOP-001_LIST_INCIDENTU_A4_LANDSCAPE_FILLABLE_v1_7_CONTENT_LOCKED.pdf;1;1;0;internal;active;1;0;0fa175b06a4faf6458c841bbe9d5fa5c7502c9c647f70d2252a136ce76802f6c;Doplňkový A4 landscape list
35;RAI-FRM-DOP-002;DOP;08_DOPLNKOVE_LISTY;Doplňkové listy;List hranic podpory;v1.7;RAI-FRM-DOP-002_LIST_HRANIC_PODPORY_A4_LANDSCAPE_FILLABLE_v1_7_CONTENT_LOCKED.pdf;08_DOPLNKOVE_LISTY/RAI-FRM-DOP-002_LIST_HRANIC_PODPORY_A4_LANDSCAPE_FILLABLE_v1_7_CONTENT_LOCKED.pdf;1;1;0;internal;active;1;0;f9aa628b1280e8ea140bbf49c9e4efaa0d9d7aac9770858c9780f69dba543d42;Doplňkový A4 landscape list
36;RAI-AIO-DOP-001;AIO;99_ALL_IN_ONE_VOLITELNE;ALL-IN-ONE volitelné;Doplňkové listy ALL-IN-ONE;v1.7;RAI-AIO-DOP-001_DOPLNKOVE_LISTY_INCIDENTY_HRANICE_ALL_IN_ONE_v1_7_CONTENT_LOCKED.pdf;99_ALL_IN_ONE_VOLITELNE/RAI-AIO-DOP-001_DOPLNKOVE_LISTY_INCIDENTY_HRANICE_ALL_IN_ONE_v1_7_CONTENT_LOCKED.pdf;2;1;1;internal;active;0;0;c381a7258afcb34667de6dba999300f6c805f19f9aedb1bbb1998171c3b1f977;Volitelný souhrnný PDF balík
37;RAI-DOC-PROJ-001;DOC;10_METODIKY_A_PODKLADY;Metodiky a podklady;One-page projektu;v1.5;RAI-DOC-PROJ-001_ONE_PAGE_PROJEKT_2026_v1_5_CONTENT_LOCKED.pdf;10_METODIKY_A_PODKLADY/RAI-DOC-PROJ-001_ONE_PAGE_PROJEKT_2026_v1_5_CONTENT_LOCKED.pdf;1;0;0;public;active;0;1;9e901123f33ae212fc7f6df3d93bb520dae94cf5577fa7ef2361d28c3c9084ce;Veřejný/partnerský podklad
38;RAI-MET-JB-001;MET;10_METODIKY_A_PODKLADY;Metodiky a podklady;Metodika JAILBREAK;v1.5;RAI-MET-JB-001_METODIKA_JAILBREAK_v1_5_CONTENT_LOCKED.pdf;10_METODIKY_A_PODKLADY/RAI-MET-JB-001_METODIKA_JAILBREAK_v1_5_CONTENT_LOCKED.pdf;6;0;0;internal;active;0;0;bf95b3d3796e777ee8e8fd149e7dcaa7b78786c76e0ab38304ea6ecd01434800;Metodický podklad
