form_uid;title;category_code;relative_path;barcode_action;barcode_position;barcode_reason;sha256_hash
RAI-FRM-EVA-002;Follow-up tracking;05_EVALUACE_A_FOLLOW_UP;05_EVALUACE_A_FOLLOW_UP/RAI-FRM-EVA-002_FOLLOW_UP_TRACKING_FILLABLE_v1_5_CONTENT_LOCKED.pdf;added;top_right;main portrait form layout;14876b62c3b2dfcb980ed108174a2d7f406b80836f5dfdd8dd89464eb7df331f
RAI-FRM-ETY-001;Mlčenlivost a etický závazek týmu;07_ETIKA_A_TYM;07_ETIKA_A_TYM/RAI-FRM-ETY-001_MLCENLIVOST_ETICKY_ZAVAZEK_FILLABLE_v1_5_CONTENT_LOCKED.pdf;added;top_right;main portrait form layout;13c096062f1e37433aba257d0310610dd45a7cbb102dfdcba1f201aeb01c50b4
RAI-FRM-REG-001;Registr dobrovolníků;06_REGISTRY;06_REGISTRY/RAI-FRM-REG-001_REGISTR_DOBROVOLNIKU_FILLABLE_v1_5_CONTENT_LOCKED.pdf;added;top_right;main portrait form layout;230c7e65cb80448020c6faf48c356030538a567b3aac5ce0140cee72dc7cfbe4
RAI-FRM-REG-002;Evidence komunitních aktivit;06_REGISTRY;06_REGISTRY/RAI-FRM-REG-002_EVIDENCE_KOMUNITNICH_AKTIVIT_FILLABLE_v1_5_CONTENT_LOCKED.pdf;added;top_right;main portrait form layout;1e9cb99ee4020b917b2e5714d9d885e12ca6aa9d954a060fae3c3ebaf1c73113
RAI-FRM-REG-003;Registr partnerů;06_REGISTRY;06_REGISTRY/RAI-FRM-REG-003_REGISTR_PARTNERU_FILLABLE_v1_5_CONTENT_LOCKED.pdf;added;top_right;main portrait form layout;73ba6a466dc1fd26e97ef10336259a90a05fa723375431bada7f5327e1a94561
RAI-FRM-REG-004;Registr rizik;06_REGISTRY;06_REGISTRY/RAI-FRM-REG-004_REGISTR_RIZIK_FILLABLE_v1_5_CONTENT_LOCKED.pdf;added;top_right;main portrait form layout;a2fe7e2014204ba1b8d102568222f38016d698e05a44cd7bdece910dd65b5e29
RAI-FRM-REG-005;Registr stížností;06_REGISTRY;06_REGISTRY/RAI-FRM-REG-005_REGISTR_STIZNOSTI_FILLABLE_v1_5_CONTENT_LOCKED.pdf;added;top_right;main portrait form layout;b126c53a85941c047170252a23d98a5da14a6e04f3b99ea229a7cfaef4537afb
RAI-AIO-REG-001;Registry ALL-IN-ONE;99_ALL_IN_ONE_VOLITELNE;99_ALL_IN_ONE_VOLITELNE/RAI-AIO-REG-001_REGISTRY_ALL_IN_ONE_v1_7_CONTENT_LOCKED.pdf;added;bottom_left;all-in-one portrait bundle layout;7426ca1d7691cdd619c2fc304bf64de3a0e91b875ca233ee4c491bf1ca662a56
RAI-FRM-DOP-001;List incidentů;08_DOPLNKOVE_LISTY;08_DOPLNKOVE_LISTY/RAI-FRM-DOP-001_LIST_INCIDENTU_A4_LANDSCAPE_FILLABLE_v1_7_CONTENT_LOCKED.pdf;added;top_right;landscape or supplemental A4 layout;430dbf6d0508e574950561f61a3e1f6f6f52310189b4fd32526fb9c46564e6f7
RAI-FRM-DOP-002;List hranic podpory;08_DOPLNKOVE_LISTY;08_DOPLNKOVE_LISTY/RAI-FRM-DOP-002_LIST_HRANIC_PODPORY_A4_LANDSCAPE_FILLABLE_v1_7_CONTENT_LOCKED.pdf;added;top_right;landscape or supplemental A4 layout;fa39e99f61ba904f566150259d8281396c931841c792d2328e2474543080b64b
RAI-AIO-DOP-001;Doplňkové listy ALL-IN-ONE;99_ALL_IN_ONE_VOLITELNE;99_ALL_IN_ONE_VOLITELNE/RAI-AIO-DOP-001_DOPLNKOVE_LISTY_INCIDENTY_HRANICE_ALL_IN_ONE_v1_7_CONTENT_LOCKED.pdf;added;top_right;landscape or supplemental A4 layout;60d731371a04827f14268357fb0d5676649f475feb06cc91bbebf00cbd7369d1
RAI-DOC-PROJ-001;One-page projektu;10_METODIKY_A_PODKLADY;10_METODIKY_A_PODKLADY/RAI-DOC-PROJ-001_ONE_PAGE_PROJEKT_2026_v1_5_CONTENT_LOCKED.pdf;added;bottom_left;document/metodika cover layout;a0312aba9d112ff3a01e4cfea5f83bd7f074a71791a5984ba152d823301b09e2
RAI-MET-JB-001;Metodika JAILBREAK;10_METODIKY_A_PODKLADY;10_METODIKY_A_PODKLADY/RAI-MET-JB-001_METODIKA_JAILBREAK_v1_5_CONTENT_LOCKED.pdf;added;bottom_left;document/metodika cover layout;0c4a8c242557b816b70eed2aa65dea4a56ce899df74be338b0574e26eaa590fc
