form_uid;form_group;category_code;title;version;file_name;file_path;status;is_current;size_bytes;sha256
REST-STABILIZACNI-INDEX-001;EVALUACE;05_EVALUACE_A_FOLLOW_UP;Stabilizacni Index;v1.5;REST_ART_STABILIZACNI_INDEX_FILLABLE_v1_5_CONTENT_LOCKED.pdf;/documents/forms/05_EVALUACE_A_FOLLOW_UP/REST_ART_STABILIZACNI_INDEX_FILLABLE_v1_5_CONTENT_LOCKED.pdf;active;1;210533;95e03b84cfbb3dff3ad1d98d2788a4549a891fcaa0829df8b75f1dc0538dc094
REST-EVIDENCE-KOMUNITNICH-AKTIVIT-001;REGISTRY;06_REGISTRY;Evidence Komunitnich Aktivit;v1.5;REST_ART_EVIDENCE_KOMUNITNICH_AKTIVIT_FILLABLE_v1_5_CONTENT_LOCKED.pdf;/documents/forms/06_REGISTRY/REST_ART_EVIDENCE_KOMUNITNICH_AKTIVIT_FILLABLE_v1_5_CONTENT_LOCKED.pdf;active;1;248847;1335bddf7eac270c5013964f6386f8e0a61712dc7e15ff52ddcc9cf4e6efa9cc
REST-REGISTR-DOBROVOLNIKU-001;REGISTRY;06_REGISTRY;Registr Dobrovolniku;v1.5;REST_ART_REGISTR_DOBROVOLNIKU_FILLABLE_v1_5_CONTENT_LOCKED.pdf;/documents/forms/06_REGISTRY/REST_ART_REGISTR_DOBROVOLNIKU_FILLABLE_v1_5_CONTENT_LOCKED.pdf;active;1;208484;4ab78eadedcaeed84d9b539a72e741b2efbfafb87ba73ecce2ae6d295cbc04a7
REST-REGISTR-PARTNERU-001;REGISTRY;06_REGISTRY;Registr Partneru;v1.5;REST_ART_REGISTR_PARTNERU_FILLABLE_v1_5_CONTENT_LOCKED.pdf;/documents/forms/06_REGISTRY/REST_ART_REGISTR_PARTNERU_FILLABLE_v1_5_CONTENT_LOCKED.pdf;active;1;171039;2dc28eb6477a8fc55e71fce9847e604b865317b2db543239635e36c93166801f
REST-REGISTR-RIZIK-001;REGISTRY;06_REGISTRY;Registr Rizik;v1.5;REST_ART_REGISTR_RIZIK_FILLABLE_v1_5_CONTENT_LOCKED.pdf;/documents/forms/06_REGISTRY/REST_ART_REGISTR_RIZIK_FILLABLE_v1_5_CONTENT_LOCKED.pdf;active;1;202428;407ecd07730587223dd56f71f2b4d2e70084c145738e7000d1f49452249a24d8
REST-REGISTR-STIZNOSTI-001;REGISTRY;06_REGISTRY;Registr Stiznosti;v1.5;REST_ART_REGISTR_STIZNOSTI_FILLABLE_v1_5_CONTENT_LOCKED.pdf;/documents/forms/06_REGISTRY/REST_ART_REGISTR_STIZNOSTI_FILLABLE_v1_5_CONTENT_LOCKED.pdf;active;1;152948;792d1243b7435aa9ab645750455dbc54bc8538adb2d2eb649652f665780c9ce2
REST-MLCENLIVOST-ETICKY-ZAVAZEK-001;ETIKA;07_ETIKA_A_TYM;Mlcenlivost Eticky Zavazek;v1.5;REST_ART_MLCENLIVOST_ETICKY_ZAVAZEK_FILLABLE_v1_5_CONTENT_LOCKED.pdf;/documents/forms/07_ETIKA_A_TYM/REST_ART_MLCENLIVOST_ETICKY_ZAVAZEK_FILLABLE_v1_5_CONTENT_LOCKED.pdf;active;1;180745;dc6602639f345bac1afa9b31839f768c0801ea5bc7edcaf8515a66c4e23967b3
REST-LIST-HRANIC-PODPORY-001;DOPLNKY;08_DOPLNKOVE_LISTY;List Hranic Podpory;v1.7;REST_ART_LIST_HRANIC_PODPORY_A4_LANDSCAPE_FILLABLE_v1_7_CONTENT_LOCKED.pdf;/documents/forms/08_DOPLNKOVE_LISTY/REST_ART_LIST_HRANIC_PODPORY_A4_LANDSCAPE_FILLABLE_v1_7_CONTENT_LOCKED.pdf;active;1;143362;f9aa628b1280e8ea140bbf49c9e4efaa0d9d7aac9770858c9780f69dba543d42
REST-LIST-INCIDENTU-001;DOPLNKY;08_DOPLNKOVE_LISTY;List Incidentu;v1.7;REST_ART_LIST_INCIDENTU_A4_LANDSCAPE_FILLABLE_v1_7_CONTENT_LOCKED.pdf;/documents/forms/08_DOPLNKOVE_LISTY/REST_ART_LIST_INCIDENTU_A4_LANDSCAPE_FILLABLE_v1_7_CONTENT_LOCKED.pdf;active;1;151902;0fa175b06a4faf6458c841bbe9d5fa5c7502c9c647f70d2252a136ce76802f6c
REST-DOPLNKOVE-LISTY-ALL-IN-ONE-001;ALL_IN_ONE;99_ALL_IN_ONE_VOLITELNE;Doplnkove Listy Incidenty Hranice;v1.7;REST_ART_DOPLNKOVE_LISTY_INCIDENTY_HRANICE_A4_LANDSCAPE_FILLABLE_v1_7_CONTENT_LOCKED_ALL_IN_ONE.pdf;/documents/forms/99_ALL_IN_ONE_VOLITELNE/REST_ART_DOPLNKOVE_LISTY_INCIDENTY_HRANICE_A4_LANDSCAPE_FILLABLE_v1_7_CONTENT_LOCKED_ALL_IN_ONE.pdf;active;1;214344;c381a7258afcb34667de6dba999300f6c805f19f9aedb1bbb1998171c3b1f977
REST-GDPR-BALICEK-ALL-IN-ONE-001;ALL_IN_ONE;99_ALL_IN_ONE_VOLITELNE;GDPR Balicek;v1.3;REST_ART_GDPR_BALICEK_FILLABLE_ALL_TYPES_v1_3_CONTENT_LOCKED_ALL_IN_ONE.pdf;/documents/forms/99_ALL_IN_ONE_VOLITELNE/REST_ART_GDPR_BALICEK_FILLABLE_ALL_TYPES_v1_3_CONTENT_LOCKED_ALL_IN_ONE.pdf;active;1;458552;51f098d3c549da22c074d6614879d2a9e1316ff13aa1531001e12301d11c445b
REST-REGISTRY-ALL-IN-ONE-001;ALL_IN_ONE;99_ALL_IN_ONE_VOLITELNE;Registry;v1.7;REST_ART_REGISTRY_FILLABLE_v1_7_CONTENT_LOCKED_ALL_IN_ONE.pdf;/documents/forms/99_ALL_IN_ONE_VOLITELNE/REST_ART_REGISTRY_FILLABLE_v1_7_CONTENT_LOCKED_ALL_IN_ONE.pdf;active;1;1000809;437c9b6db469f7265ef43e7c9dce8d05cd10391cd643d9983d9ab0fbeb429a69
REST-JAILBREAK-001;JAILBREAK;03_INTERVENCE;Jailbreak Dotaznik;v1.5;REST_ART_JAILBREAK_DOTAZNIK_FILLABLE_v1_5_CONTENT_LOCKED.pdf;/documents/forms/03_INTERVENCE/REST_ART_JAILBREAK_DOTAZNIK_FILLABLE_v1_5_CONTENT_LOCKED.pdf;active;1;245187;b3fdcd15c63681a3608bb2c4119ad6a64e4bd31603882e6cc7f4db42307dde44
